osmid,y,x,highway,street_count,junction,geometry
392576356,13.0431273,80.1712883,,3,,POINT (80.1712883 13.0431273)
392576357,13.0427649,80.1712432,,3,,POINT (80.1712432 13.0427649)
392576358,13.0425672,80.1724893,,3,,POINT (80.1724893 13.0425672)
392576359,13.0424841,80.1735071,,3,,POINT (80.1735071 13.0424841)
392576361,13.0416049,80.1733505,,3,,POINT (80.1733505 13.0416049)
392576363,13.0412064,80.1737128,,3,,POINT (80.1737128 13.0412064)
392576365,13.0420376,80.1719209,,3,,POINT (80.1719209 13.0420376)
392576366,13.0422652,80.1745422,,3,,POINT (80.1745422 13.0422652)
392576371,13.0424235,80.1737567,,1,,POINT (80.1737567 13.0424235)
392576372,13.0420233,80.17376,,1,,POINT (80.17376 13.0420233)
392576373,13.0419205,80.1743801,,3,,POINT (80.1743801 13.0419205)
392576375,13.0432296,80.1748965,,3,,POINT (80.1748965 13.0432296)
392576376,13.0436927,80.1739379,,3,,POINT (80.1739379 13.0436927)
392576377,13.0433535,80.1741964,,3,,POINT (80.1741964 13.0433535)
392576381,13.043752,80.1752681,,1,,POINT (80.1752681 13.043752)
392576382,13.0436497,80.1761083,,3,,POINT (80.1761083 13.0436497)
392576383,13.0438328,80.1735825,,3,,POINT (80.1735825 13.0438328)
392576384,13.0432942,80.17257,,3,,POINT (80.17257 13.0432942)
